69;Head of a Man;;;Diego Vélasquez ;1;;(;Head of a Man;,;';';,;),;(69,'Head of a Man',1),
70;Heidelberg;;;William Turner;5;;(;Heidelberg;,;';';,;),;(70,'Heidelberg',5),
71;Idol Black résistance;;;František Kupka ;2;;(;Idol Black résistance;,;';';,;),;(71,'Idol Black résistance',2),
71;Idol Black résistance;;;František Kupka ;2;;(;Idol Black résistance;,;';';,;),;(71,'Idol Black résistance',2),
72;Immaculée Conception;;;Diego Vélasquez ;1;;(;Immaculée Conception;,;';';,;),;(72,'Immaculée Conception',1),
73;Imposition de la chasuble à Saint Ildefonse;;;Diego Vélasquez ;1;;(;Imposition de la chasuble à Saint Ildefonse;,;';';,;),;(73,'Imposition de la chasuble à Saint Ildefonse',1),
74;Incendie de la chambre des Lords (I);;;William Turner;5;;(;Incendie de la chambre des Lords (I);,;';';,;),;(74,'Incendie de la chambre des Lords (I)',5),
75;Incendie de la chambre des Lords (II);;;William Turner;5;;(;Incendie de la chambre des Lords (II);,;';';,;),;(75,'Incendie de la chambre des Lords (II)',5),
76;Isabella of Bourbon;;;Diego Vélasquez ;1;;(;Isabella of Bourbon;,;';';,;),;(76,'Isabella of Bourbon',1),
77;L'Adoration des mages;;;Léonard de Vinci;4;;(;L/'Adoration des mages;,;';';,;),;(77,'L/'Adoration des mages',4),
78;L'Annonciation;;;Léonard de Vinci;4;;(;L/'Annonciation;,;';';,;),;(78,'L/'Annonciation',4),
79;L'apparition d'un ange;;;William Turner;5;;(;L/'apparition d/'un ange;,;';';,;),;(79,'L/'apparition d/'un ange',5),
80;La bataille de Trafalgar (I);;;William Turner;5;;(;La bataille de Trafalgar (I);,;';';,;),;(80,'La bataille de Trafalgar (I)',5),
81;La bataille de Trafalgar (II);;;William Turner;5;;(;La bataille de Trafalgar (II);,;';';,;),;(81,'La bataille de Trafalgar (II)',5),
82;La Cène d'Emmaüs;;;Diego Vélasquez ;1;;(;La Cène d/'Emmaüs;,;';';,;),;(82,'La Cène d/'Emmaüs',1),
83;La Madone à l'œillet;;;Léonard de Vinci;4;;(;La Madone à l/'œillet;,;';';,;),;(83,'La Madone à l/'œillet',4),
84;La Vénérable Mère Jerónima de la Fuente;;;Diego Vélasquez ;1;;(;La Vénérable Mère Jerónima de la Fuente;,;';';,;),;(84,'La Vénérable Mère Jerónima de la Fuente',1),
85;Lac Buttermere;;;William Turner;5;;(;Lac Buttermere;,;';';,;),;(85,'Lac Buttermere',5),
86;Landscape drawing for Santa Maria della Neve;;;Léonard de Vinci;4;;(;Landscape drawing for Santa Maria della Neve;,;';';,;),;(86,'Landscape drawing for Santa Maria della Neve',4),
87;Le Baptême du Christ;;;Léonard de Vinci;4;;(;Le Baptême du Christ;,;';';,;),;(87,'Le Baptême du Christ',4),
88;Le déclin de l'empire carthaginois ;;;William Turner;5;;(;Le déclin de l/'empire carthaginois ;,;';';,;),;(88,'Le déclin de l/'empire carthaginois ',5),
89;Le Mythe d'Apollon et Python;;;William Turner;5;;(;Le Mythe d/'Apollon et Python;,;';';,;),;(89,'Le Mythe d/'Apollon et Python',5),
90;Le Naufrage;;;William Turner;5;;(;Le Naufrage;,;';';,;),;(90,'Le Naufrage',5),
91;Le Porteur d'eau de Séville;;;Diego Vélasquez ;1;;(;Le Porteur d/'eau de Séville;,;';';,;),;(91,'Le Porteur d/'eau de Séville',1),
92;Le Rigi bleu;;;William Turner;5;;(;Le Rigi bleu;,;';';,;),;(92,'Le Rigi bleu',5),
93;Le Téméraire;;;William Turner;5;;(;Le Téméraire;,;';';,;),;(93,'Le Téméraire',5),
94;Le Triomphe de Bacchus;;;Diego Vélasquez ;1;;(;Le Triomphe de Bacchus;,;';';,;),;(94,'Le Triomphe de Bacchus',1),
95;Les disques de Newton 1;;;František Kupka ;2;;(;Les disques de Newton 1;,;';';,;),;(95,'Les disques de Newton 1',2),
95;Les disques de Newton 1;;;František Kupka ;2;;(;Les disques de Newton 1;,;';';,;),;(95,'Les disques de Newton 1',2),
96;Les feux des bateaux;;;William Turner;5;;(;Les feux des bateaux;,;';';,;),;(96,'Les feux des bateaux',5),
97;Lily;;;Léonard de Vinci;4;;(;Lily;,;';';,;),;(97,'Lily',4),
98;Madonna Benois;;;Léonard de Vinci;4;;(;Madonna Benois;,;';';,;),;(98,'Madonna Benois',4),
99;Mme kupka parmi les verticales;;;František Kupka ;2;;(;Mme kupka parmi les verticales;,;';';,;),;(99,'Mme kupka parmi les verticales',2),
99;Mme kupka parmi les verticales;;;František Kupka ;2;;(;Mme kupka parmi les verticales;,;';';,;),;(99,'Mme kupka parmi les verticales',2),
100;Mouvement;;;František Kupka ;2;;(;Mouvement;,;';';,;),;(100,'Mouvement',2),
100;Mouvement;;;František Kupka ;2;;(;Mouvement;,;';';,;),;(100,'Mouvement',2),
101;Philip IV;;;Diego Vélasquez ;1;;(;Philip IV;,;';';,;),;(101,'Philip IV',1),
102;Philip IV of Spain;;;Diego Vélasquez ;1;;(;Philip IV of Spain;,;';';,;),;(102,'Philip IV of Spain',1),
103;Philippe IV en armure;;;Diego Vélasquez ;1;;(;Philippe IV en armure;,;';';,;),;(103,'Philippe IV en armure',1),
104;Pluie - Vapeur - Vitesse;;;William Turner;5;;(;Pluie - Vapeur - Vitesse;,;';';,;),;(104,'Pluie - Vapeur - Vitesse',5),
105;Portrait de Ginevra de Benci;;;Léonard de Vinci;4;;(;Portrait de Ginevra de Benci;,;';';,;),;(105,'Portrait de Ginevra de Benci',4),
106;Portrait de l'infant Don Carlos;;;Diego Vélasquez ;1;;(;Portrait de l/'infant Don Carlos;,;';';,;),;(106,'Portrait de l/'infant Don Carlos',1),
107;Portrait de Luis de Góngora y Argote;;;Diego Vélasquez ;1;;(;Portrait de Luis de Góngora y Argote;,;';';,;),;(107,'Portrait de Luis de Góngora y Argote',1),
108;Portrait du comte-duc d'Olivares;;;Diego Vélasquez ;1;;(;Portrait du comte-duc d/'Olivares;,;';';,;),;(108,'Portrait du comte-duc d/'Olivares',1),
109;Portrait of a Cleric;;;Diego Vélasquez ;1;;(;Portrait of a Cleric;,;';';,;),;(109,'Portrait of a Cleric',1),
110;Portrait of a Man;;;Diego Vélasquez ;1;;(;Portrait of a Man;,;';';,;),;(110,'Portrait of a Man',1),
111;Portrait of a Man with a Goatee;;;Diego Vélasquez ;1;;(;Portrait of a Man with a Goatee;,;';';,;),;(111,'Portrait of a Man with a Goatee',1),
112;Portrait of a Young Man;;;Diego Vélasquez ;1;;(;Portrait of a Young Man;,;';';,;),;(112,'Portrait of a Young Man',1),
113;Positionnement des éléments;;;František Kupka ;2;;(;Positionnement des éléments;,;';';,;),;(113,'Positionnement des éléments',2),
113;Positionnement des éléments;;;František Kupka ;2;;(;Positionnement des éléments;,;';';,;),;(113,'Positionnement des éléments',2),
114;Profile of a warrior in helmet;;;Léonard de Vinci;4;;(;Profile of a warrior in helmet;,;';';,;),;(114,'Profile of a warrior in helmet',4),
115;Regulus;;;William Turner;5;;(;Regulus;,;';';,;),;(115,'Regulus',5),
116;Retrato de Don Sebastián Garcia de Huerta;;;Diego Vélasquez ;1;;(;Retrato de Don Sebastián Garcia de Huerta;,;';';,;),;(116,'Retrato de Don Sebastián Garcia de Huerta',1),
117;Saint Jean à Patmos;;;Diego Vélasquez ;1;;(;Saint Jean à Patmos;,;';';,;),;(117,'Saint Jean à Patmos',1),
118;Saint Jérôme;;;Léonard de Vinci;4;;(;Saint Jérôme;,;';';,;),;(118,'Saint Jérôme',4),
119;Saint Paul;;;Diego Vélasquez ;1;;(;Saint Paul;,;';';,;),;(119,'Saint Paul',1),
119;Saint Paul;;;Diego Vélasquez ;1;;(;Saint Paul;,;';';,;),;(119,'Saint Paul',1),
120;Saint Thomas;;;Diego Vélasquez ;1;;(;Saint Thomas;,;';';,;),;(120,'Saint Thomas',1),
121;Scène de cuisine;;;Diego Vélasquez ;1;;(;Scène de cuisine;,;';';,;),;(121,'Scène de cuisine',1),
122;Sleeve Study for the Annunciation;;;Léonard de Vinci;4;;(;Sleeve Study for the Annunciation;,;';';,;),;(122,'Sleeve Study for the Annunciation',4),
123;Studies of central plan buildings;;;Léonard de Vinci;4;;(;Studies of central plan buildings;,;';';,;),;(123,'Studies of central plan buildings',4),
124;Study;;;Léonard de Vinci;4;;(;Study;,;';';,;),;(124,'Study',4),
125;Study for the Adoration of the Magi;;;Léonard de Vinci;4;;(;Study for the Adoration of the Magi;,;';';,;),;(125,'Study for the Adoration of the Magi',4),
126;Study for the Madonna with the Fruit Bowl;;;Léonard de Vinci;4;;(;Study for the Madonna with the Fruit Bowl;,;';';,;),;(126,'Study for the Madonna with the Fruit Bowl',4),
127;Study of a child with a cat;;;Léonard de Vinci;4;;(;Study of a child with a cat;,;';';,;),;(127,'Study of a child with a cat',4),
128;Study of an Old Man;;;Léonard de Vinci;4;;(;Study of an Old Man;,;';';,;),;(128,'Study of an Old Man',4),
129;Study of hands;;;Léonard de Vinci;4;;(;Study of hands;,;';';,;),;(129,'Study of hands',4),
130;Study of nursing Madonna and profile heads;;;Léonard de Vinci;4;;(;Study of nursing Madonna and profile heads;,;';';,;),;(130,'Study of nursing Madonna and profile heads',4),
131;Study of the Hanged Bernardo di Bandino Baroncelli, assassin of Giuliano de Medici;;;Léonard de Vinci;4;;(;Study of the Hanged Bernardo di Bandino Baroncelli, assassin of Giuliano de Medici;,;';';,;),;(131,'Study of the Hanged Bernardo di Bandino Baroncelli, assassin of Giuliano de Medici',4),
132;Study of the Madonna and Child with a Cat;;;Léonard de Vinci;4;;(;Study of the Madonna and Child with a Cat;,;';';,;),;(132,'Study of the Madonna and Child with a Cat',4),
133;Study sheet;;;Léonard de Vinci;4;;(;Study sheet;,;';';,;),;(133,'Study sheet',4),
134;Tango;;;František Kupka ;2;;(;Tango;,;';';,;),;(134,'Tango',2),
134;Tango;;;František Kupka ;2;;(;Tango;,;';';,;),;(134,'Tango',2),
135;Tempête de neige en mer;;;William Turner;5;;(;Tempête de neige en mer;,;';';,;),;(135,'Tempête de neige en mer',5),
136;The Study of a Drapery of a Figure Kneeling;;;Léonard de Vinci;4;;(;The Study of a Drapery of a Figure Kneeling;,;';';,;),;(136,'The Study of a Drapery of a Figure Kneeling',4),
137;The Study of Drapery of a Seated Figure;;;Léonard de Vinci;4;;(;The Study of Drapery of a Seated Figure;,;';';,;),;(137,'The Study of Drapery of a Seated Figure',4),
138;The Way of Silence;;;František Kupka ;2;;(;The Way of Silence;,;';';,;),;(138,'The Way of Silence',2),
138;The Way of Silence;;;František Kupka ;2;;(;The Way of Silence;,;';';,;),;(138,'The Way of Silence',2),
139;tordu noir lignes;;;František Kupka ;2;;(;tordu noir lignes;,;';';,;),;(139,'tordu noir lignes',2),
139;tordu noir lignes;;;František Kupka ;2;;(;tordu noir lignes;,;';';,;),;(139,'tordu noir lignes',2),
140;Trois musiciens;;;Diego Vélasquez ;1;;(;Trois musiciens;,;';';,;),;(140,'Trois musiciens',1),
141;un désastre en mer;;;William Turner;5;;(;un désastre en mer;,;';';,;),;(141,'un désastre en mer',5),
142;Venise : La Dogana, San Giorgio ...;;;William Turner;5;;(;Venise : La Dogana, San Giorgio ...;,;';';,;),;(142,'Venise : La Dogana, San Giorgio ...',5),
143;Venise : Le grand canal;;;William Turner;5;;(;Venise : Le grand canal;,;';';,;),;(143,'Venise : Le grand canal',5),
144;Venise : Le pont des soupirs;;;William Turner;5;;(;Venise : Le pont des soupirs;,;';';,;),;(144,'Venise : Le pont des soupirs',5),
145;Venise : Une rue animée;;;William Turner;5;;(;Venise : Une rue animée;,;';';,;),;(145,'Venise : Une rue animée',5),
146;Venise en approche;;;William Turner;5;;(;Venise en approche;,;';';,;),;(146,'Venise en approche',5),
147;Vieille faisant frire des œufs;;;Diego Vélasquez ;1;;(;Vieille faisant frire des œufs;,;';';,;),;(147,'Vieille faisant frire des œufs',1),
148;Woman's Head;;;Léonard de Vinci;4;;(;Woman/'s Head;,;';';,;),;(148,'Woman/'s Head',4),
;;;;;;;(;;,;';';,;),;(,'',),
;;;;;;;(;;,;';';,;),;(,'',),
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';,;;(,'',
;;;;;;;(;;,;';';;;(,''
;;;;;;;(;;,;';';;;(,''
;;;;;;;(;;,;';';;;(,''
;;;;;;;(;;,;';';;;(,''
;;;;;;;(;;,;';';;;(,''
;;;;;;;(;;,;';';;;(,''
;;;;;;;(;;,;';';;;(,''
;;;;;;;(;;,;';';;;(,''
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;';;;;(,'
;;;;;;;(;;,;;;;;(,
;;;;;;;(;;,;;;;;(,
;;;;;;;;;,;;;;;,
;;;;;;;;;,;;;;;,
;;;;;;;;;,;;;;;,
;;;;;;;;;,;;;;;,
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
